	parent	epoch_jd	reference_plane_type	orbit_right_ascension	orbit_declination	eccentricity	inclination	longitude_ascending_node	argument_periapsis	semi_major_axis	semi_parameter	mean_anomaly_at_epoch	time_periapsis	mean_motion	orbit_gravitational_parameter	longitude_ascending_node_rate	argument_periapsis_rate	#nodal_period	#apsidal_period	real_planet_orbit	semi_major_axis_rate	eccentricity_rate	inclination_rate	mean_anomaly_correction_b	mean_anomaly_correction_c	mean_anomaly_correction_s	mean_anomaly_correction_f	validity_begin	validity_end	segment_begin	segment_end	fix_gaps
Type	STRING_NAME	FLOAT	IVOrbit.ReferencePlane	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	BOOL
Default		2451545.0	ECLIPTIC													0	0			FALSE				0	0	0	0			-INF	INF	FALSE
Unit				deg	deg		deg	deg	deg	km	km	deg		deg/d	km^3/s^2	deg/Cy	deg/Cy	a	a		au/Cy	1/Cy	deg/Cy	deg/Cy^2	deg	deg	deg/Cy			s	s	
Prefix/ORBIT_			REFERENCE_PLANE_																													
MOON_HIPPOCAMP	PLANET_NEPTUNE	2453737.0	LAPLACE	299.373	42.944	0	0	0	0	105284		302.652		378.9061402		0	0	0	0													
MOON_PROTEUS	PLANET_NEPTUNE	2453372.0	LAPLACE	299.406	42.432	0.0005	0.075	315.131	67.968	117646		250.938		320.7656245		-2828.63204212	0	12.727	6.38													
MOON_TRITON	PLANET_NEPTUNE		LAPLACE	299.456	43.414	0	156.865	177.608	66.142	354759		352.257		61.2572638		52.3677496123	0	687.446	386.371													
MOON_NEREID	PLANET_NEPTUNE	2451911.0	LAPLACE	269.302	69.117	0.7507	7.09	335.57	281.117	5513818		216.692		0.9996276		-3.80721530754	4.44914075969	9455.73	8091.45													
MOON_HALIMEDE	PLANET_NEPTUNE	2452800.5	ECLIPTIC			0.2909	112.898	217.288	162.119	16681000		105.258		0.1915578		1.94579028272	6.34563622935	18501.48	5673.19													
MOON_SAO	PLANET_NEPTUNE	2453531.5	ECLIPTIC			0.2827	49.907	60.354	65.047	22619000		168.139		0.123323		-6.68847853834	0.0824023432663	5382.39	436880.78													
MOON_LAOMEDEIA	PLANET_NEPTUNE	2453896.5	ECLIPTIC			0.4339	34.049	59.124	140.107	23613000		285.863		0.1133637		-10.8256351039	16.0350633385	3325.44	2245.08													
MOON_PSAMATHE	PLANET_NEPTUNE	2453166.5	ECLIPTIC			0.4617	137.679	298.074	144.158	46705000		190.027		0.0394359		27.5921270464	24.3635034718	1304.72	1477.62													
MOON_NESO	PLANET_NEPTUNE	2454261.5	ECLIPTIC			0.4243	131.265	49.151	86.441	50258000		260.648		0.0364349		32.9046587513	1.50395665931	1094.07	23936.86													
MOON_CHARON	PLANET_PLUTO		EQUATORIAL			0.0002	0.08	26.928	146.106	19591		131.07		56.362521		-3.99095472284	0	9020.398	10178.04													
